Protein ID	Essential
13952	Yes
9843	Yes
9378	Yes
13557	Yes
10303	Yes
8561	Yes
12050	Yes
15415	Yes
13617	Yes
9468	Yes
8976	Yes
16570	Yes
9701	Yes
9831	Yes
8534	Yes
13403	Yes
11854	Yes
10066	Yes
10797	Yes
11789	Yes
8876	Yes
10154	Yes
10624	Yes
15158	Yes
15123	Yes
10875	Yes
15503	Yes
8777	Yes
8670	Yes
9557	Yes
15420	Yes
12927	Yes
11533	Unclear (ambiguous TDNA mapping)
11182	Unclear (ambiguous TDNA mapping)
13064	Unclear (ambiguous TDNA mapping)
11536	Unclear (ambiguous TDNA mapping)
16551	Unclear (ambiguous TDNA mapping)
15147	Unclear (ambiguous TDNA mapping)
8958	Unclear (ambiguous TDNA mapping)
12726	Unclear (ambiguous TDNA mapping)
11385	Unclear (ambiguous TDNA mapping)
10637	Unclear (ambiguous TDNA mapping)
10640	Unclear (ambiguous TDNA mapping)
8926	Unclear (ambiguous TDNA mapping)
8864	Unclear (ambiguous TDNA mapping)
15936	Unclear (ambiguous TDNA mapping)
9178	Unclear (ambiguous TDNA mapping)
15935	Unclear (ambiguous TDNA mapping)
11535	Unclear (ambiguous TDNA mapping)
11771	Unclear (ambiguous TDNA mapping)
8865	Unclear (ambiguous TDNA mapping)
11772	Unclear (ambiguous TDNA mapping)
15934	Unclear (ambiguous TDNA mapping)
8638	Unclear (ambiguous TDNA mapping)
10623	Unclear (ambiguous TDNA mapping)
11770	Unclear (ambiguous TDNA mapping)
12373	Unclear (ambiguous TDNA mapping)
12723	Unclear (ambiguous TDNA mapping)
11189	Unclear (ambiguous TDNA mapping)
12366	Unclear (ambiguous TDNA mapping)
14109	Unclear (ambiguous TDNA mapping)
9396	Unclear (ambiguous TDNA mapping)
16121	Unclear (ambiguous TDNA mapping)
14108	Unclear (ambiguous TDNA mapping)
15937	Unclear (ambiguous TDNA mapping)
10632	Unclear (ambiguous TDNA mapping)
8855	Unclear (ambiguous TDNA mapping)
8925	Unclear (ambiguous TDNA mapping)
9401	Unclear (ambiguous TDNA mapping)
8861	Unclear (ambiguous TDNA mapping)
11419	Unclear (ambiguous TDNA mapping)
16114	Unclear (ambiguous TDNA mapping)
8984	Unclear (ambiguous TDNA mapping)
8856	Unclear (ambiguous TDNA mapping)
15928	Unclear (ambiguous TDNA mapping)
8860	Unclear (ambiguous TDNA mapping)
12724	Unclear (ambiguous TDNA mapping)
9177	Unclear (ambiguous TDNA mapping)
11530	Unclear (ambiguous TDNA mapping)
11531	Unclear (ambiguous TDNA mapping)
15930	Unclear (ambiguous TDNA mapping)
15929	Unclear (ambiguous TDNA mapping)
15931	Unclear (ambiguous TDNA mapping)
11529	Unclear (ambiguous TDNA mapping)
11534	Unclear (ambiguous TDNA mapping)
8867	Unclear (ambiguous TDNA mapping)
8859	Unclear (ambiguous TDNA mapping)
8863	Unclear (ambiguous TDNA mapping)
11418	Unclear (ambiguous TDNA mapping)
12139	Unclear (ambiguous TDNA mapping)
15192	Unclear (ambiguous TDNA mapping)
14093	Unclear (ambiguous TDNA mapping)
15938	Unclear (ambiguous TDNA mapping)
10440	Unclear (ambiguous TDNA mapping)
8866	Unclear (ambiguous TDNA mapping)
15142	Unclear (ambiguous TDNA mapping)
15153	Unclear (ambiguous TDNA mapping)
15144	Unclear (ambiguous TDNA mapping)
11141	Unclear (ambiguous TDNA mapping)
15155	Unclear (ambiguous TDNA mapping)
8862	Unclear (ambiguous TDNA mapping)
8857	Unclear (ambiguous TDNA mapping)
15932	Unclear (ambiguous TDNA mapping)
10437	Unclear (ambiguous TDNA mapping)
12719	No
10436	No
10903	No
10257	No
10958	No
12453	No
9340	No
16444	No
16715	No
11905	No
10652	No
13533	No
11058	No
14551	No
15408	No
14688	No
12675	No
16832	No
13154	No
11519	No
11059	No
10815	No
13344	No
11923	No
12196	No
10383	No
11053	No
16595	No
12488	No
10273	No
11648	No
12030	No
14243	No
12501	No
13322	No
9318	No
14927	No
10803	No
11774	No
14276	No
9757	No
14192	No
12879	No
12831	No
12014	No
11537	No
9136	No
10188	No
14569	No
8586	No
11098	No
16165	No
10795	No
8850	No
11468	No
14591	No
13355	No
10159	No
12108	No
15203	No
15786	No
11452	No
13808	No
13751	No
8491	No
10448	No
11388	No
11494	No
11384	No
9869	No
12848	No
8520	No
10435	No
12416	No
12026	No
9777	No
10668	No
9450	No
12830	No
16221	No
15164	No
8572	No
13125	No
16662	No
14906	No
14529	No
11660	No
10480	No
11100	No
11008	No
12249	No
11347	No
8650	No
8420	No
10712	No
14494	No
10639	No
15794	No
16830	No
10296	No
12333	No
16826	No
11073	No
10186	No
12804	No
15703	No
9675	No
15673	No
11324	No
11727	No
15289	No
11586	No
10032	No
10258	No
9379	No
10301	No
12263	No
10097	No
16569	No
9308	No
9532	No
15745	No
11323	No
15043	No
16720	No
11617	No
15573	No
14492	No
16337	No
10705	No
13342	No
13664	No
8614	No
13108	No
14818	No
14407	No
13371	No
11593	No
11467	No
9431	No
12694	No
12172	No
14332	No
11798	No
16235	No
13730	No
15603	No
12770	No
12574	No
13914	No
14401	No
16184	No
11394	No
10471	No
16295	No
12029	No
9285	No
15672	No
16316	No
11377	No
13772	No
9844	No
11369	No
14422	No
12469	No
10454	No
10987	No
10405	No
12687	No
15376	No
16791	No
16554	No
11575	No
8985	No
11556	No
12568	No
14339	No
9845	No
16296	No
9346	No
15172	No
10882	No
9668	No
13225	No
11433	No
14432	No
15234	No
10997	No
9477	No
13418	No
16314	No
14410	No
14994	No
12456	No
11484	No
9873	No
13850	No
8597	No
10849	No
12352	No
10970	No
12884	No
11361	No
9330	No
14484	No
14400	No
14583	No
13781	No
14639	No
13375	No
15824	No
9400	No
10799	No
16166	No
16060	No
14770	No
12800	No
13954	No
14358	No
9720	No
8481	No
13114	No
11062	No
9960	No
16674	No
11801	No
10615	No
13848	No
12228	No
10488	No
9716	No
11337	No
11013	No
13188	No
11169	No
11349	No
11562	No
11016	No
11071	No
14556	No
11303	No
15117	No
11483	No
9799	No
11260	No
16333	No
16374	No
13753	No
8648	No
14238	No
14330	No
15106	No
11918	No
11370	No
16755	No
14000	No
16119	No
11951	No
15523	No
9518	No
11438	No
9334	No
15636	No
12802	No
13092	No
11357	No
10948	No
12887	No
11979	No
10600	No
14851	No
9573	No
11515	No
15747	No
13746	No
9360	No
13744	No
11726	No
14820	No
16302	No
10545	No
11423	No
16174	No
16363	No
9410	No
10062	No
16820	No
11500	No
13133	No
9725	No
11800	No
15182	No
8756	No
12832	No
15487	No
13160	No
11688	No
12985	No
9418	No
12609	No
9443	No
10102	No
11480	No
9846	No
16124	No
13457	No
14404	No
16043	No
14373	No
13573	No
10477	No
10409	No
11283	No
11048	No
9670	No
16416	No
13494	No
12073	No
16331	No
14026	No
16550	No
11457	No
11703	No
8730	No
15459	No
11904	No
14838	No
12127	No
14808	No
16792	No
14205	No
12701	No
14352	No
12076	No
8378	No
13020	No
14696	No
9850	No
15397	No
10779	No
14211	No
11398	No
15836	No
10977	No
11902	No
9722	No
9833	No
16733	No
14099	No
10920	No
14833	No
15120	No
14745	No
12872	No
15813	No
9640	No
16342	No
16313	No
14819	No
13036	No
16794	No
10930	No
16839	No
9674	No
14799	No
16536	No
12533	No
14425	No
12839	No
16783	No
11084	No
15331	No
14120	No
12799	No
11072	No
13216	No
16118	No
9719	No
14715	No
10313	No
10160	No
9653	No
13124	No
9336	No
11180	No
12865	No
14439	No
11587	No
11132	No
9973	No
8629	No
13631	No
12607	No
14297	No
16219	No
9072	No
13416	No
16361	No
10048	No
14792	No
14468	No
9465	No
12612	No
13059	No
14306	No
12180	No
10070	No
13742	No
12840	No
16217	No
9062	No
16822	No
12613	No
14141	No
10966	No
9073	No
13093	No
10398	No
10020	No
9851	No
9641	No
11592	No
11931	No
11319	No
10141	No
11219	No
12260	No
9320	No
15746	No
15634	No
15835	No
13836	No
8472	No
15866	No
9103	No
15642	No
12156	No
16103	No
16741	No
10523	No
9398	No
11163	No
8938	No
12891	No
14387	No
10324	No
15199	No
8830	No
14314	No
10300	No
11302	No
10050	No
10931	No
16711	No
14784	No
16220	No
14829	No
9549	No
11743	No
13038	No
16113	No
9702	No
11422	No
15139	No
15974	No
8750	No
14990	No
16109	No
14815	No
9745	No
12885	No
9332	No
12425	No
9999	No
10044	No
15656	No
16819	No
16188	No
13936	No
12889	No
13755	No
16727	No
13809	No
10548	No
9650	No
11300	No
11301	No
13542	No
12234	No
9994	No
13478	No
8387	No
11138	No
15045	No
10274	No
16657	No
16603	No
9358	No
13331	No
15215	No
11318	No
11031	No
15053	No
15529	No
14840	No
15437	No
9335	No
9849	No
15716	No
13741	No
15515	No
8706	No
13173	No
14385	No
15338	No
9848	No
16665	No
16645	No
12412	No
14384	No
15177	No
15850	No
11922	No
12457	No
16074	No
11037	No
12796	No
15400	No
13884	No
10758	No
12192	No
9154	No
10743	No
11612	No
12903	No
11282	No
16489	No
15635	No
12835	No
14466	No
10601	No
8625	No
9721	No
9582	No
15250	No
11852	No
13885	No
16763	No
14575	No
9252	No
14506	No
15085	No
14991	No
13123	No
11698	No
10036	No
13179	No
9740	No
10918	No
16179	No
9466	No
12809	No
15439	No
9991	No
16734	No
10322	No
11733	No
9783	No
15216	No
13420	No
14490	No
14145	No
10176	No
15648	No
14491	No
12191	No
16417	No
12987	No
13013	No
10728	No
12864	No
13749	No
10363	No
13754	No
16360	No
14204	No
16706	No
9399	No
16472	No
15140	No
13032	No
12293	No
14527	No
8377	No
14440	No
8477	No
16442	No
11325	No
8906	No
16803	No
10525	No
13352	No
11015	No
